count,pitch,swing,result
1-2,fastball,yes,hit
0-0,curve,no,no_hit
1-0,change,no,no_hit
2-0,fastball,no,no_hit
2-1,fastball,no,no_hit
2-2,change,no,no_hit
3-2,curve,no,no_hit
0-0,fastball,no,no_hit
1-0,change,yes,no_hit
2-0,fastball,no,no_hit
3-0,change,no,no_hit
3-1,curve,no,no_hit
3-2,fastball,yes,no_hit
0-0,fastball,no,no_hit
0-1,curve,yes,hit
0-0,fastball,no,no_hit
1-0,curve,yes,hit
0-0,fastball,yes,no_hit
0-0,curve,yes,no_hit
0-0,fastball,no,no_hit
0-1,fastball,no,no_hit
1-1,fastball,no,no_hit
2-1,fastball,no,no_hit
3-1,curve,no,no_hit
3-2,fastball,no,no_hit
0-0,fastball,yes,no_hit
0-1,fastball,yes,no_hit
1-1,fastball,yes,hit
0-0,fastball,no,no_hit
0-1,change,yes,no_hit
0-2,change,no,no_hit
1-2,fastball,yes,no_hit
0-0,fastball,no,no_hit
1-0,fastball,yes,no_hit
3-2,fastball,yes,no_hit
0-0,fastball,no,no_hit
0-1,fastball,no,no_hit
1-1,fastball,no,no_hit
2-1,fastball,yes,hit
0-0,change,no,no_hit
1-0,fastball,no,no_hit
2-0,fastball,yes,hit
0-0,fastball,yes,hit
0-0,fastball,no,no_hit
0-1,change,yes,hit
0-0,change,yes,no_hit
0-0,fastball,no,no_hit
1-0,fastball,no,no_hit
2-0,fastball,no,no_hit
3-0,fastball,no,no_hit
3-1,fastball,yes,no_hit
0-0,change,no,no_hit
1-0,fastball,yes,no_hit
0-0,fastball,no,no_hit
1-0,change,yes,no_hit
2-0,fastball,yes,no_hit
2-1,curve,yes,no_hit
3-1,fastball,no,no_hit
3-2,curve,yes,no_hit
0-0,change,no,no_hit
0-1,fastball,yes,no_hit
1-1,change,yes,hit
0-0,fastball,no,no_hit
0-1,fastball,no,no_hit
1-1,fastball,yes,no_hit
2-1,fastball,no,no_hit
2-2,fastball,yes,no_hit
0-0,fastball,no,no_hit
1-0,fastball,no,no_hit
2-0,fastball,yes,no_hit
3-0,fastball,no,no_hit
3-1,fastball,yes,hit
0-0,curve,no,no_hit
0-1,fastball,yes,hit
0-0,change,yes,no_hit
0-0,change,no,no_hit
0-1,fastball,yes,hit
0-0,fastball,no,no_hit
0-1,fastball,yes,hit
0-0,fastball,no,no_hit
1-0,fastball,yes,no_hit
1-1,curve,yes,hit
0-0,curve,no,no_hit
0-1,change,no,no_hit
1-1,curve,no,no_hit
2-1,fastball,yes,no_hit
3-1,fastball,yes,no_hit
0-0,change,no,no_hit
1-0,fastball,no,no_hit
1-1,fastball,yes,hit
0-0,fastball,no,no_hit
1-0,change,no,no_hit
1-1,change,yes,no_hit
0-0,fastball,no,no_hit
1-0,fastball,no,no_hit
2-0,curve,yes,no_hit
3-0,fastball,no,no_hit
3-1,fastball,yes,no_hit
3-2,fastball,yes,no_hit
0-0,fastball,no,no_hit
0-1,fastball,yes,hit
0-0,fastball,no,no_hit
1-0,curve,no,no_hit
2-0,fastball,yes,no_hit
2-1,change,yes,hit
0-0,fastball,no,no_hit
0-1,change,no,no_hit
1-1,fastball,yes,hit
0-0,change,no,no_hit
0-1,fastball,no,no_hit
1-1,change,yes,no_hit
0-0,fastball,no,no_hit
1-0,curve,yes,hit
0-0,change,no,no_hit
0-1,fastball,yes,no_hit
0-2,curve,no,no_hit
1-2,fastball,no,no_hit
2-2,fastball,no,no_hit
3-2,fastball,yes,no_hit
0-0,fastball,no,no_hit
1-0,change,yes,no_hit
0-0,fastball,no,no_hit
0-1,fastball,yes,no_hit
0-2,curve,yes,no_hit
1-2,fastball,yes,no_hit
